" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   196,    82, -9.48899e-02,  1.00149e-04,  5.73494e-02,  6.13254e-03,  5.83318e-02,      0.0, 
   197,    78, -6.49172e-01, -6.89253e-01, -5.73737e-01,  1.41515e-02,  7.44294e-02, -9.12574e-02,
   197,    80,  6.49172e-01,  6.89253e-01,  5.73737e-01, -1.41515e-02,  3.71811e-02, -4.23048e-02,
   198,    78,  8.43545e-01,  6.96031e-02,  8.33297e-01,  1.41491e-02, -1.17451e-01,  8.09099e-03,
   198,    83, -8.43545e-01, -6.96031e-02, -8.33297e-01, -1.41491e-02, -5.60512e-02,  5.93548e-03,
   199,    78,  2.37893e-01,      0.0,   3.03926e-01, -2.19225e-03, -9.13181e-02,      0.0, 
   199,    81, -2.37893e-01,      0.0,  -3.03926e-01,  2.19225e-03,  2.82929e-02,      0.0, 
   200,    80, -8.78978e-01, -2.55823e-02, -6.78258e-01,  1.13510e-02,  4.89444e-02, -1.33911e-04,
   200,    82,  8.78978e-01,  2.55823e-02,  6.78258e-01, -1.13510e-02,  9.38437e-02, -5.09415e-03,
   201,    80, -3.04486e-01,  1.45094e-01, -5.93192e-01, -1.08824e-02,  4.09938e-02,  1.12636e-02,
   201,    81,  3.04486e-01, -1.45094e-01,  5.93192e-01,  1.08824e-02,  8.01335e-02,  1.77119e-02,
   202,    83,  1.16924e-01, -4.14923e-01,  4.70841e-01, -1.08822e-02, -3.28811e-02, -2.69797e-02,
   202,    81, -1.16924e-01,  4.14923e-01, -4.70841e-01,  1.08822e-02, -6.07293e-02, -5.51979e-02,
   203,    83,  9.43320e-01,  5.98943e-01,  4.56120e-01,  1.13476e-02, -2.83763e-02,  3.99163e-02,
   203,    82, -9.43320e-01, -5.98943e-01, -4.56120e-01, -1.13476e-02, -5.83009e-02,  7.36524e-02,
   204,    82,  4.63199e-02,  7.01749e-02,  4.95468e-02,  2.14433e-03, -9.22992e-04,  1.31811e-03,
   204,    81, -4.63199e-02, -7.01749e-02, -4.95468e-02, -2.14433e-03, -8.98906e-03,  1.27207e-02,
   205,    24,  1.88602e-02, -1.63618e-01, -1.15889e-01,  6.11551e-03,  1.73125e-02, -2.44605e-02,
   205,    82, -1.88602e-02,  1.63618e-01,  1.15889e-01, -6.11551e-03,  5.85956e-03, -8.25512e-03,
   206,    24, -1.39828e-02,  2.01311e-01, -3.77205e-01, -1.04903e-02,  5.11696e-02,  2.67220e-02,
   206,    84,  1.39828e-02, -2.01311e-01,  3.77205e-01,  1.04903e-02,  2.41912e-02,  1.34329e-02,
   207,    24, -3.34353e-04, -1.91787e-01,  3.81555e-01, -1.04913e-02, -5.13629e-02, -2.63517e-02,
   207,    87,  3.34353e-04,  1.91787e-01, -3.81555e-01,  1.04913e-02, -2.49338e-02, -1.20001e-02,
   208,    24,  2.42413e-02,      0.0,  -7.56840e-02, -5.18608e-03, -3.05947e-02,      0.0, 
   208,    86, -2.42413e-02,      0.0,   7.56840e-02,  5.18608e-03,  4.54858e-02,      0.0, 
   209,    82, -5.11947e-01, -5.05542e-01, -4.20163e-01,  1.04324e-02,  5.44131e-02, -6.65594e-02,
   209,    84,  5.11947e-01,  5.05542e-01,  4.20163e-01, -1.04324e-02,  2.69855e-02, -3.09693e-02,
   210,    82,  6.28250e-01,  5.03191e-02,  6.06144e-01,  1.04302e-02, -8.57470e-02,  6.00808e-03,
   210,    87, -6.28250e-01, -5.03191e-02, -6.06144e-01, -1.04302e-02, -4.08922e-02,  4.15535e-03,
   211,    82,  1.70053e-01,      0.0,   2.59490e-01, -2.85557e-03, -6.92500e-02,      0.0, 
   211,    85, -1.70053e-01,      0.0,  -2.59490e-01,  2.85557e-03,  1.56520e-02,      0.0, 
   212,    84, -6.70349e-01, -2.32015e-02, -4.98660e-01,  8.36679e-03,  3.61849e-02, -5.78714e-04,
   212,    86,  6.70349e-01,  2.32015e-02,  4.98660e-01, -8.36679e-03,  6.93247e-02, -4.16874e-03,
   213,    84, -1.39942e-01,  1.45046e-01, -3.91117e-01, -8.13932e-03,  2.70666e-02,  1.06561e-02,
   213,    85,  1.39942e-01, -1.45046e-01,  3.91117e-01,  8.13932e-03,  5.23702e-02,  1.83262e-02,
   214,    87,  2.86012e-02, -2.41743e-01,  3.48449e-01, -8.14110e-03, -2.43380e-02, -1.59546e-02,
   214,    85, -2.86012e-02,  2.41743e-01, -3.48449e-01,  8.14110e-03, -4.52005e-02, -3.21797e-02,
   215,    87,  6.93115e-01,  4.41212e-01,  3.41641e-01,  8.36517e-03, -2.13667e-02,  2.92251e-02,
   215,    86, -6.93115e-01, -4.41212e-01, -3.41641e-01, -8.36517e-03, -4.34022e-02,  5.41781e-02,
   216,    86, -1.54640e-02,  9.08408e-02,  6.41978e-02,  2.71814e-03, -2.43969e-03,  3.45281e-03,
   216,    85,  1.54640e-02, -9.08408e-02, -6.41978e-02, -2.71814e-03, -1.03962e-02,  1.47101e-02,
   217,    29, -4.69604e-02, -1.68981e-01, -1.19925e-01,  5.27122e-03,  1.74920e-02, -2.46588e-02,
   217,    86,  4.69604e-02,  1.68981e-01,  1.19925e-01, -5.27122e-03,  6.49547e-03, -9.14103e-03,
   218,    29,  2.47243e-01,  6.93162e-02, -2.78073e-01, -8.24042e-03,  3.92244e-02,  1.06475e-02,
   218,    88, -2.47243e-01, -6.93162e-02,  2.78073e-01,  8.24042e-03,  1.76487e-02,  5.08546e-03,
   219,    29, -2.66417e-01, -1.86492e-01,  2.39554e-01, -8.24592e-03, -3.12565e-02, -2.58577e-02,
   219,    91,  2.66417e-01,  1.86492e-01, -2.39554e-01,  8.24592e-03, -1.42120e-02, -1.14848e-02,
   220,    29, -1.85492e-02, -3.31289e-03, -3.26693e-02, -4.85383e-03, -2.18953e-02, -2.01150e-04,
   220,    90,  1.85492e-02,  3.31289e-03,  3.26693e-02,  4.85383e-03,  2.86226e-02, -4.61328e-04,
   221,    86, -5.02380e-01, -3.64975e-01, -3.14636e-01,  7.83062e-03,  4.02348e-02, -4.80040e-02,
   221,    88,  5.02380e-01,  3.64975e-01,  3.14636e-01, -7.83062e-03,  1.99933e-02, -2.13392e-02,
   222,    86,  5.85326e-01,  4.49704e-02,  4.30400e-01,  7.85121e-03, -6.23898e-02,  5.12447e-03,
   222,    91, -5.85326e-01, -4.49704e-02, -4.30400e-01, -7.85121e-03, -2.89498e-02,  3.97764e-03,
   223,    86,  8.27161e-02,  4.70363e-04,  2.60483e-01, -3.23939e-03, -5.54129e-02,      0.0, 
   223,    89, -8.27161e-02, -4.70363e-04, -2.60483e-01,  3.23939e-03,  2.45743e-03,      0.0, 
   224,    88, -6.62226e-01, -3.58665e-02, -3.19451e-01,  5.73395e-03,  2.47404e-02, -1.58300e-03,
   224,    90,  6.62226e-01,  3.58665e-02,  3.19451e-01, -5.73395e-03,  4.51057e-02, -5.71290e-03,
   225,    88,  1.39079e-01,  1.46876e-01, -2.31066e-01, -5.46676e-03,  1.57561e-02,  1.06325e-02,
   225,    89, -1.39079e-01, -1.46876e-01,  2.31066e-01,  5.46676e-03,  2.91789e-02,  1.87642e-02,
   226,    91, -2.13637e-01, -9.12297e-02,  2.43469e-01, -5.47898e-03, -1.77118e-02, -6.82372e-03,
   226,    89,  2.13637e-01,  9.12297e-02, -2.43469e-01,  5.47898e-03, -3.20695e-02, -1.30369e-02,
   227,    91,  6.88371e-01,  2.89030e-01,  2.45552e-01,  5.85628e-03, -1.53500e-02,  1.92929e-02,
   227,    90, -6.88371e-01, -2.89030e-01, -2.45552e-01, -5.85628e-03, -3.00678e-02,  3.35155e-02,
   228,    90, -1.21913e-01,  8.48956e-02,  6.37918e-02,  2.44131e-03, -2.20393e-03,  2.34606e-03,
   228,    89,  1.21913e-01, -8.48956e-02, -6.37918e-02, -2.44131e-03, -1.05364e-02,  1.46077e-02,
   229,    34, -6.27678e-02, -1.45221e-01, -1.02012e-01,  5.59546e-03,  1.35936e-02, -1.89385e-02,
   229,    90,  6.27678e-02,  1.45221e-01,  1.02012e-01, -5.59546e-03,  6.81480e-03, -1.01140e-02,
   230,    34,  5.63211e-02, -2.73363e-02, -1.10723e-01, -4.52402e-03,  1.81385e-02, -3.03927e-03,
   230,    92, -5.63211e-02,  2.73363e-02,  1.10723e-01,  4.52402e-03,  4.29887e-03, -1.98885e-03,
   231,    34, -5.82692e-01,  6.18946e-02, -4.36775e-02, -5.03550e-03, -1.64640e-04, -5.20642e-03,
   231,    95,  5.82692e-01, -6.18946e-02,  4.36775e-02,  5.03550e-03,  1.43695e-02,  1.74655e-02,
   232,    34, -1.86972e-02, -3.69787e-03,  1.47456e-01, -3.11732e-03, -1.93230e-02,      0.0, 
   232,    94,  1.86972e-02,  3.69787e-03, -1.47456e-01,  3.11732e-03, -9.96263e-03, -6.83727e-04,
   233,    90, -1.92003e-03, -2.11012e-01, -1.90112e-01,  4.93011e-03,  2.46845e-02, -3.13555e-02,
   233,    92,  1.92003e-03,  2.11012e-01,  1.90112e-01, -4.93011e-03,  1.33215e-02, -1.08263e-02,
   234,    90,  1.89986e-01,  1.92990e-01,  2.00438e-01,  7.37628e-03, -3.48222e-02,  1.23986e-02,
   234,    95, -1.89986e-01, -1.92990e-01, -2.00438e-01, -7.37628e-03, -7.01586e-03,  2.62320e-02,
   235,    90, -3.45045e-02, -3.36934e-03,  2.14116e-01, -3.47053e-03, -3.82352e-02, -4.70728e-04,
   235,    93,  3.45045e-02,  3.36934e-03, -2.14116e-01,  3.47053e-03, -4.21032e-03, -2.03038e-04,
   236,    92, -1.43738e-01, -3.12957e-02, -2.74497e-02,  7.55829e-04,  5.53457e-03, -1.16574e-03,
   236,    94,  1.43738e-01,  3.12957e-02,  2.74497e-02, -7.55829e-04,  1.28346e-03, -5.12155e-03,
   237,    92, -1.12668e-01,  1.19776e-01, -1.01819e-01, -2.34239e-03,  8.18490e-03,  8.89621e-03,
   237,    93,  1.12668e-01, -1.19776e-01,  1.01819e-01,  2.34239e-03,  1.32336e-02,  1.50325e-02,
   238,    95, -3.21680e-01, -3.30978e-03,  1.66026e-01,  2.76983e-03, -1.40252e-02, -1.20708e-03,
   238,    93,  3.21680e-01,  3.30978e-03, -1.66026e-01, -2.76983e-03, -2.08655e-02, -1.95827e-03,
   239,    95, -7.85320e-02,  1.59008e-01,  1.24032e-01,  3.39758e-03, -1.55429e-02,  2.41512e-02,
   239,    94,  7.85320e-02, -1.59008e-01, -1.24032e-01, -3.39758e-03, -9.69194e-03,  8.22929e-03,
   240,    94,  8.85321e-02,  6.03092e-02,  4.99055e-02, -3.89055e-03, -1.70775e-03,  9.93910e-04,
   240,    93, -8.85321e-02, -6.03092e-02, -4.99055e-02,  3.89055e-03, -8.28450e-03,  1.10840e-02,
   241,    39, -1.01933e-01, -3.14423e-02, -2.67496e-02, -1.18759e-03,  2.97655e-03, -4.22228e-03,
   241,    96,  1.01933e-01,  3.14423e-02,  2.67496e-02,  1.18759e-03,  2.39094e-03, -2.07157e-03,
   242,    39, -2.50847e-01,  6.48112e-03, -4.14732e-02,  4.54716e-03,  4.56153e-03, -2.04658e-04,
   242,    95,  2.50847e-01, -6.48112e-03,  4.14732e-02, -4.54716e-03,  2.41011e-03, -4.51437e-04,
   243,    39,  4.72032e-01,  7.11056e-02, -7.27570e-02, -2.05592e-03,  1.80344e-03,  2.61711e-03,
   243,    99, -4.72032e-01, -7.11056e-02,  7.27570e-02,  2.05592e-03,  8.26741e-03,  1.16312e-02,
   244,    39,  5.06229e-01,  4.88047e-03,  1.41534e-02, -1.17851e-03, -5.21861e-03,      0.0, 
   244,    98, -5.06229e-01, -4.88047e-03, -1.41534e-02,  1.17851e-03, -3.10462e-03,  8.63095e-04,
   245,    96,  2.05531e-01, -1.42384e-01, -8.64368e-02,  2.77086e-03,  5.29216e-03, -9.76307e-03,
   245,    95, -2.05531e-01,  1.42384e-01,  8.64368e-02, -2.77086e-03,  1.31398e-02, -2.02639e-02,
   246,    96,  1.76316e-01,  1.03681e-01, -8.82266e-02,  7.27284e-04,  5.55335e-03,  6.93881e-03,
   246,    99, -1.76316e-01, -1.03681e-01,  8.82266e-02, -7.27284e-04,  1.04483e-02,  1.38053e-02,
   247,    96, -2.01930e-02, -1.08732e-02, -6.91903e-02, -1.68832e-03,  5.30172e-03, -1.98129e-04,
   247,    97,  2.01930e-02,  1.08732e-02,  6.91903e-02,  1.68832e-03,  8.75337e-03, -1.97393e-03,
   248,    95, -5.98671e-01, -1.65217e-01,  9.52438e-02,  2.65706e-03, -8.65616e-03, -2.29230e-02,
   248,    98,  5.98671e-01,  1.65217e-01, -9.52438e-02, -2.65706e-03, -4.81796e-03, -1.01526e-02,
   249,    95, -3.29491e-01, -1.38589e-01,  1.09975e-01, -1.95243e-03, -1.44358e-02, -2.11218e-02,
   249,    97,  3.29491e-01,  1.38589e-01, -1.09975e-01,  1.95243e-03, -4.43004e-03, -6.61244e-03,
   250,    99, -6.22107e-02,  1.65329e-03,  1.18212e-01,  2.03891e-03, -1.10423e-02,      0.0, 
   250,    97,  6.22107e-02, -1.65329e-03, -1.18212e-01, -2.03891e-03, -1.29243e-02,      0.0, 
   251,    99, -5.88991e-01,  1.03258e-01,  2.27366e-02,  6.84055e-04, -5.33373e-03,  1.65358e-02,
   251,    98,  5.88991e-01, -1.03258e-01, -2.27366e-02, -6.84055e-04, -2.50050e-03,  8.56731e-03,
   252,    98,  4.20077e-01,  5.16240e-02,  4.89671e-02, -1.70167e-03, -3.20471e-03,  4.30421e-03,
   252,    97, -4.20077e-01, -5.16240e-02, -4.89671e-02,  1.70167e-03, -6.66302e-03,  6.04518e-03,
   253,    44, -7.20683e-03, -2.36573e-02,  4.26090e-03, -8.13719e-04, -6.02250e-04, -3.74096e-03,
   253,   100,  7.20683e-03,  2.36573e-02, -4.26090e-03,  8.13719e-04, -2.48559e-04, -9.89685e-04,
   254,    44, -2.08173e-01,  8.87494e-03, -7.63108e-02,  2.12535e-03,  5.24070e-03,      0.0, 
   254,    99,  2.08173e-01, -8.87494e-03,  7.63108e-02, -2.12535e-03,  8.91381e-03,      0.0, 
   255,    44, -1.55259e-03,  2.12663e-02, -1.41181e-02, -9.60911e-04, -6.21478e-04, -7.53745e-04,
   255,   103,  1.55259e-03, -2.12663e-02,  1.41181e-02,  9.60911e-04,  3.45948e-03,  5.00639e-03,
   256,    44,  9.71455e-02, -1.70572e-02,  1.19034e-02, -7.96441e-04, -2.76486e-03, -2.64837e-03,
   256,   102, -9.71455e-02,  1.70572e-02, -1.19034e-02,  7.96441e-04, -6.76058e-04, -7.76953e-04,
   257,   100,  9.35095e-02, -1.17418e-01, -2.34431e-02,  8.54002e-04,  1.46227e-03, -7.37636e-03,
   257,    99, -9.35095e-02,  1.17418e-01,  2.34431e-02, -8.54002e-04,  3.75005e-03, -1.68198e-02,
   258,   100,  1.09844e-01,  6.24712e-02, -5.54860e-02,  3.54186e-04,  3.75897e-03,  4.74116e-03,
   258,   103, -1.09844e-01, -6.24712e-02,  5.54860e-02, -3.54186e-04,  6.30743e-03,  7.74975e-03,
   259,   100,  1.80164e-02, -1.76497e-03, -3.07948e-02, -4.10995e-04,  2.48197e-03,  2.52137e-04,
   259,   101, -1.80164e-02,  1.76497e-03,  3.07948e-02,  4.10995e-04,  3.47936e-03, -6.07748e-04,
   260,    99, -1.73943e-01, -9.06367e-02,  9.22701e-02,  8.67805e-04, -1.16196e-02, -1.27046e-02,
   260,   102,  1.73943e-01,  9.06367e-02, -9.22701e-02, -8.67805e-04, -5.20196e-03, -5.41774e-03,
   261,    99,  3.23980e-01, -8.52737e-02,  4.58588e-02, -2.33269e-03, -8.83006e-03, -1.23479e-02,
   261,   101, -3.23980e-01,  8.52737e-02, -4.58588e-02,  2.33269e-03, -3.43141e-03, -4.70853e-03,
   262,   103, -1.91932e-02,  1.25699e-03,  5.64681e-02,  1.24153e-03, -5.74980e-03,      0.0, 
   262,   101,  1.91932e-02, -1.25699e-03, -5.64681e-02, -1.24153e-03, -5.64402e-03,      0.0, 
   263,   103, -2.06692e-01,  6.93074e-02,  1.58965e-02,  3.69846e-04, -2.64532e-03,  9.62982e-03,
   263,   102,  2.06692e-01, -6.93074e-02, -1.58965e-02, -3.69846e-04, -1.69262e-03,  5.81222e-03,
   264,   102,  7.13529e-02,  2.34110e-02,  1.88760e-02, -3.93879e-04, -1.24451e-03,  2.16230e-03,
   264,   101, -7.13529e-02, -2.34110e-02, -1.88760e-02,  3.93879e-04, -2.54240e-03,  2.51826e-03,
   265,    49, -1.65125e-02, -1.28290e-02,  1.26407e-03, -4.22965e-04, -1.38895e-04, -2.00659e-03,
   265,   104,  1.65125e-02,  1.28290e-02, -1.26407e-03,  4.22965e-04, -1.11156e-04, -5.57952e-04,
   266,    49, -1.98804e-02,  1.46431e-04, -4.23765e-02,  1.11982e-03,  3.17496e-03,      0.0, 
   266,   103,  1.98804e-02, -1.46431e-04,  4.23765e-02, -1.11982e-03,  5.19301e-03,      0.0, 
   267,    49,  1.13815e-01,  1.51070e-02, -1.66654e-02, -5.12296e-04,      0.0,  -1.49946e-04,
   267,   107, -1.13815e-01, -1.51070e-02,  1.66654e-02,  5.12296e-04,  2.29379e-03,  3.16491e-03,
   268,    49,  1.01108e-01, -8.23940e-03,  3.87328e-03, -4.34070e-04, -1.50871e-03, -1.26236e-03,
   268,   106, -1.01108e-01,  8.23940e-03, -3.87328e-03,  4.34070e-04, -3.73334e-04, -4.01961e-04,
   269,   104,  6.88898e-02, -6.33294e-02, -1.07646e-02,  4.18934e-04,  7.60329e-04, -4.05348e-03,
   269,   103, -6.88898e-02,  6.33294e-02,  1.07646e-02, -4.18934e-04,  1.77942e-03, -9.14152e-03,
   270,   104,  7.40529e-02,  3.68462e-02, -3.01260e-02,  3.03992e-04,  1.97043e-03,  2.74888e-03,
   270,   107, -7.40529e-02, -3.68462e-02,  3.01260e-02, -3.03992e-04,  3.35749e-03,  4.61535e-03,
   271,   104, -9.79510e-03, -1.00429e-03, -1.84393e-02, -2.97227e-04,  1.47844e-03,      0.0, 
   271,   105,  9.79510e-03,  1.00429e-03,  1.84393e-02,  2.97227e-04,  2.31615e-03, -2.85796e-04,
   272,   103, -1.48327e-01, -4.87877e-02,  5.33839e-02,  4.06592e-04, -6.41297e-03, -6.77280e-03,
   272,   106,  1.48327e-01,  4.87877e-02, -5.33839e-02, -4.06592e-04, -2.86738e-03, -2.97547e-03,
   273,   103,  2.03473e-03, -4.19479e-02,  2.90023e-02, -1.38939e-03, -4.40744e-03, -6.31576e-03,
   273,   105, -2.03473e-03,  4.19479e-02, -2.90023e-02,  1.38939e-03, -1.41161e-03, -2.07266e-03,
   274,   107, -1.27643e-02,      0.0,   3.14688e-02,  6.83755e-04, -3.04923e-03,      0.0, 
   274,   105,  1.27643e-02,      0.0,  -3.14688e-02, -6.83755e-04, -3.31167e-03,      0.0, 
   275,   107, -1.62315e-01,  3.67655e-02,  1.03277e-02,  2.91971e-04, -1.86495e-03,  5.40775e-03,
   275,   106,  1.62315e-01, -3.67655e-02, -1.03277e-02, -2.91971e-04, -1.11247e-03,  3.19541e-03,
   276,   106,  9.37503e-02,  1.47247e-02,  1.16073e-02, -3.08438e-04, -7.81582e-04,  1.24663e-03,
   276,   105, -9.37503e-02, -1.47247e-02, -1.16073e-02,  3.08438e-04, -1.55499e-03,  1.69292e-03,
   277,    54, -1.50084e-03, -8.96923e-03,  6.10929e-04, -3.32405e-04,      0.0,  -1.43188e-03,
   277,   108,  1.50084e-03,  8.96923e-03, -6.10929e-04,  3.32405e-04,      0.0,  -3.61576e-04,
   278,    54, -3.71455e-02,  1.89379e-03, -2.33271e-02,  6.16172e-04,  1.78512e-03,      0.0, 
   278,   107,  3.71455e-02, -1.89379e-03,  2.33271e-02, -6.16172e-04,  2.68103e-03,      0.0, 
   279,    54, -3.05139e-02,  2.92664e-03, -1.03252e-04, -1.87140e-04, -5.04255e-04, -6.40558e-04,
   279,   111,  3.05139e-02, -2.92664e-03,  1.03252e-04,  1.87140e-04,  8.17402e-04,  1.22813e-03,
   280,    54,  2.99822e-02, -5.64771e-03,  5.54982e-03, -3.22911e-04, -1.15513e-03, -8.95057e-04,
   280,   110, -2.99822e-02,  5.64771e-03, -5.54982e-03,  3.22911e-04, -2.83705e-04, -2.39638e-04,
   281,   108,  2.33526e-02, -3.55844e-02, -8.83477e-03,  3.10926e-04,  5.35379e-04, -2.16045e-03,
   281,   107, -2.33526e-02,  3.55844e-02,  8.83477e-03, -3.10926e-04,  1.36275e-03, -5.13605e-03,
   282,   108,  3.11217e-02,  1.89612e-02, -1.16169e-02,  1.64371e-04,  8.35981e-04,  1.49549e-03,
   282,   111, -3.11217e-02, -1.89612e-02,  1.16169e-02, -1.64371e-04,  1.19381e-03,  2.29380e-03,
   283,   108,  6.49074e-03, -2.22996e-03, -1.21912e-02, -1.66079e-04,  9.76613e-04,      0.0, 
   283,   109, -6.49074e-03,  2.22996e-03,  1.21912e-02,  1.66079e-04,  1.39003e-03, -4.38703e-04,
   284,   107, -4.90364e-02, -2.85835e-02,  2.67979e-02,  3.20331e-04, -3.43242e-03, -4.04194e-03,
   284,   110,  4.90364e-02,  2.85835e-02, -2.67979e-02, -3.20331e-04, -1.46432e-03, -1.67014e-03,
   285,   107,  8.75659e-02, -2.68756e-02,  1.54010e-02, -7.74283e-04, -2.83732e-03, -3.93149e-03,
   285,   109, -8.75659e-02,  2.68756e-02, -1.54010e-02,  7.74283e-04, -1.08179e-03, -1.44952e-03,
   286,   111,  1.76706e-02, -3.23754e-04,  1.54339e-02,  3.27114e-04, -1.18059e-03,      0.0, 
   286,   109, -1.76706e-02,  3.23754e-04, -1.54339e-02, -3.27114e-04, -1.81126e-03,      0.0, 
   287,   111, -6.14065e-02,  1.68676e-02,  7.70842e-03,  1.74390e-04, -1.15449e-03,  2.30038e-03,
   287,   110,  6.14065e-02, -1.68676e-02, -7.70842e-03, -1.74390e-04, -7.32598e-04,  1.54776e-03,
   288,   110,  2.18365e-02,  8.49844e-03,  8.79469e-03, -1.56241e-04, -5.79695e-04,  7.93629e-04,
   288,   109, -2.18365e-02, -8.49844e-03, -8.79469e-03,  1.56241e-04, -1.18255e-03,  9.04132e-04,
   289,    59, -3.07399e-03, -5.13007e-03, -1.04221e-03, -1.88537e-04,  1.33551e-04, -8.12922e-04,
   289,   112,  3.07399e-03,  5.13007e-03,  1.04221e-03,  1.88537e-04,      0.0,  -2.12668e-04,
   290,    59,  1.11568e-02, -8.34165e-04, -8.77504e-03,  2.52201e-04,  8.60806e-04,      0.0, 
   290,   111, -1.11568e-02,  8.34165e-04,  8.77504e-03, -2.52201e-04,  9.53613e-04,      0.0, 
   291,    59,  1.09920e-02, -1.87693e-04, -8.25168e-04,      0.0,  -2.98813e-04, -4.84584e-04,
   291,   115, -1.09920e-02,  1.87693e-04,  8.25168e-04,      0.0,   3.58369e-04,  4.46086e-04,
   292,    59,  1.88821e-02, -2.06953e-03,  3.55115e-03, -1.96798e-04, -7.09332e-04, -3.58470e-04,
   292,   114, -1.88821e-02,  2.06953e-03, -3.55115e-03,  1.96798e-04, -2.08166e-04,      0.0, 
   293,   112,  9.53904e-03, -1.42812e-02, -5.39345e-03,  1.96081e-04,  3.28123e-04, -8.41765e-04,
   293,   111, -9.53904e-03,  1.42812e-02,  5.39345e-03, -1.96081e-04,  8.04147e-04, -2.08797e-03,
   294,   112,  1.27077e-02,  8.80262e-03, -1.26658e-03,  1.37858e-04,  1.15381e-04,  7.14357e-04,
   294,   115, -1.27077e-02, -8.80262e-03,  1.26658e-03, -1.37858e-04,      0.0,   1.04478e-03,
   295,   112,  4.34876e-04, -2.90093e-03, -8.32333e-03, -1.35229e-04,  6.37785e-04, -1.13240e-04,
   295,   113, -4.34876e-04,  2.90093e-03,  8.32333e-03,  1.35229e-04,  1.02185e-03, -4.66939e-04,
   296,   111, -2.43956e-02, -1.32863e-02,  9.72885e-03,  1.87659e-04, -1.22223e-03, -1.89051e-03,
   296,   114,  2.43956e-02,  1.32863e-02, -9.72885e-03, -1.87659e-04, -4.93218e-04, -7.64205e-04,
   297,   111, -3.46294e-02, -1.18763e-02,  9.61799e-03, -3.87013e-04, -1.22584e-03, -1.79527e-03,
   297,   113,  3.46294e-02,  1.18763e-02, -9.61799e-03,  3.87013e-04, -3.65249e-04, -5.76599e-04,
   298,   115,  2.07470e-02, -1.15315e-03,  6.96103e-03,  1.16613e-04, -1.99811e-04,      0.0, 
   298,   113, -2.07470e-02,  1.15315e-03, -6.96103e-03, -1.16613e-04, -1.08121e-03,      0.0, 
   299,   115, -2.90160e-02,  4.49622e-03,  6.16407e-03,  1.29645e-04, -8.71323e-04,  6.18014e-04,
   299,   114,  2.90160e-02, -4.49622e-03, -6.16407e-03, -1.29645e-04, -5.24780e-04,  5.05950e-04,
   300,   114,  1.52405e-02,  4.98177e-03,  7.06367e-03, -1.43496e-04, -4.57924e-04,  4.51251e-04,
   300,   113, -1.52405e-02, -4.98177e-03, -7.06367e-03,  1.43496e-04, -9.57105e-04,  5.43614e-04,
   301,    64, -9.70347e-03, -3.48647e-03, -9.60271e-04, -1.22374e-04,      0.0,  -5.65404e-04,
   301,   116,  9.70347e-03,  3.48647e-03,  9.60271e-04,  1.22374e-04,  1.07312e-04, -1.30886e-04,
   302,    64,  6.55071e-03,  1.10453e-04, -6.98945e-04,      0.0,   2.27899e-04,      0.0, 
   302,   115, -6.55071e-03, -1.10453e-04,  6.98945e-04,      0.0,       0.0,       0.0, 
   303,    64, -7.72663e-03, -4.20800e-03,  3.47921e-03,      0.0,  -4.57133e-04, -6.13903e-04,
   303,   119,  7.72663e-03,  4.20800e-03, -3.47921e-03,      0.0,  -1.64450e-04, -2.26853e-04,
   304,    64, -5.71043e-03, -1.28925e-03,  3.92741e-03, -1.15000e-04, -5.42363e-04, -2.60683e-04,
   304,   118,  5.71043e-03,  1.28925e-03, -3.92741e-03,  1.15000e-04, -1.80272e-04,      0.0, 
   305,   116,  6.30950e-03, -3.36944e-03, -4.03877e-03,  1.52546e-04,  2.35211e-04, -1.88376e-04,
   305,   115, -6.30950e-03,  3.36944e-03,  4.03877e-03, -1.52546e-04,  6.07993e-04, -5.34323e-04,
   306,   116,  8.25664e-03,  2.30623e-03,  8.08863e-04,      0.0,       0.0,   2.53938e-04,
   306,   119, -8.25664e-03, -2.30623e-03, -8.08863e-04,      0.0,  -1.52782e-04,  2.06472e-04,
   307,   116, -2.83986e-03, -3.24658e-03, -3.93234e-03,      0.0,   2.88696e-04, -1.23211e-04,
   307,   117,  2.83986e-03,  3.24658e-03,  3.93234e-03,      0.0,   5.28848e-04, -5.25465e-04,
   308,   115,  9.14075e-03, -5.38188e-03,  1.77022e-04,  1.59313e-04, -1.00928e-04, -7.81520e-04,
   308,   118, -9.14075e-03,  5.38188e-03, -1.77022e-04, -1.59313e-04,      0.0,  -2.95540e-04,
